case_id,image_path,mask_path,image_width,image_height,mask_width,mask_height,mask_area_px,blank_mask,image_hash,status
1,data/raw/MMOTU/OTU_2d/images/1.JPG,data/raw/MMOTU/OTU_3d/annotations/1.PNG,959,537,339,352,16471,False,d909ecc1030d,ok
10,data/raw/MMOTU/OTU_2d/images/10.JPG,data/raw/MMOTU/OTU_3d/annotations/10.PNG,483,542,554,565,32899,False,9ef465a2e916,ok
100,data/raw/MMOTU/OTU_2d/images/100.JPG,data/raw/MMOTU/OTU_3d/annotations/100.PNG,958,531,592,576,21428,False,96e79162826f,ok
1000,data/raw/MMOTU/OTU_2d/images/1000.JPG,data/raw/MMOTU/OTU_2d/annotations/1000.PNG,959,532,959,532,75773,False,5b2a74d39a94,ok
1001,data/raw/MMOTU/OTU_2d/images/1001.JPG,data/raw/MMOTU/OTU_2d/annotations/1001.PNG,480,530,480,530,117430,False,1cdda1f5bef9,ok
1002,data/raw/MMOTU/OTU_2d/images/1002.JPG,data/raw/MMOTU/OTU_2d/annotations/1002.PNG,959,528,959,528,38373,False,8dc404624a46,ok
1003,data/raw/MMOTU/OTU_2d/images/1003.JPG,data/raw/MMOTU/OTU_2d/annotations/1003.PNG,958,531,958,531,19849,False,dbb550c12987,ok
1004,data/raw/MMOTU/OTU_2d/images/1004.JPG,data/raw/MMOTU/OTU_2d/annotations/1004.PNG,958,524,958,524,7593,False,90e440f9699e,ok
1005,data/raw/MMOTU/OTU_2d/images/1005.JPG,data/raw/MMOTU/OTU_2d/annotations/1005.PNG,959,530,959,530,7928,False,fc436b5aa56b,ok
1006,data/raw/MMOTU/OTU_2d/images/1006.JPG,data/raw/MMOTU/OTU_2d/annotations/1006.PNG,961,528,961,528,18425,False,839677147c18,ok
1007,data/raw/MMOTU/OTU_2d/images/1007.JPG,data/raw/MMOTU/OTU_2d/annotations/1007.PNG,956,532,956,532,18077,False,2ab314a2ab90,ok
1008,data/raw/MMOTU/OTU_2d/images/1008.JPG,data/raw/MMOTU/OTU_2d/annotations/1008.PNG,954,530,954,530,14481,False,73b1afb80c41,ok
1009,data/raw/MMOTU/OTU_2d/images/1009.JPG,data/raw/MMOTU/OTU_2d/annotations/1009.PNG,951,545,951,545,6275,False,3823b1a91319,ok
101,data/raw/MMOTU/OTU_2d/images/101.JPG,data/raw/MMOTU/OTU_3d/annotations/101.PNG,958,534,343,352,16410,False,a815677a788b,ok
1010,data/raw/MMOTU/OTU_2d/images/1010.JPG,data/raw/MMOTU/OTU_2d/annotations/1010.PNG,481,527,481,527,76050,False,fa5e8f5b5786,ok
1011,data/raw/MMOTU/OTU_2d/images/1011.JPG,data/raw/MMOTU/OTU_2d/annotations/1011.PNG,480,526,480,526,50963,False,a33414adc7ac,ok
1012,data/raw/MMOTU/OTU_2d/images/1012.JPG,data/raw/MMOTU/OTU_2d/annotations/1012.PNG,480,528,480,528,46884,False,3b53d80f0e29,ok
1013,data/raw/MMOTU/OTU_2d/images/1013.JPG,data/raw/MMOTU/OTU_2d/annotations/1013.PNG,851,650,851,650,38248,False,a573378c8724,ok
1014,data/raw/MMOTU/OTU_2d/images/1014.JPG,data/raw/MMOTU/OTU_2d/annotations/1014.PNG,481,528,481,528,3924,False,575b214b5280,ok
1015,data/raw/MMOTU/OTU_2d/images/1015.JPG,data/raw/MMOTU/OTU_2d/annotations/1015.PNG,481,527,481,527,2312,False,ccfe1bf06ba1,ok
1016,data/raw/MMOTU/OTU_2d/images/1016.JPG,data/raw/MMOTU/OTU_2d/annotations/1016.PNG,566,586,566,586,30112,False,142b1532b60a,ok
1017,data/raw/MMOTU/OTU_2d/images/1017.JPG,data/raw/MMOTU/OTU_2d/annotations/1017.PNG,568,589,568,589,39028,False,ce61065145b5,ok
1018,data/raw/MMOTU/OTU_2d/images/1018.JPG,data/raw/MMOTU/OTU_2d/annotations/1018.PNG,567,589,567,589,39577,False,65729f259f3b,ok
1019,data/raw/MMOTU/OTU_2d/images/1019.JPG,data/raw/MMOTU/OTU_2d/annotations/1019.PNG,568,583,568,583,73002,False,b746edf7074d,ok
102,data/raw/MMOTU/OTU_2d/images/102.JPG,data/raw/MMOTU/OTU_3d/annotations/102.PNG,959,533,338,355,25996,False,007dcc9fda8f,ok
1020,data/raw/MMOTU/OTU_2d/images/1020.JPG,data/raw/MMOTU/OTU_2d/annotations/1020.PNG,565,595,565,595,68689,False,27e7dc1fc1e9,ok
1021,data/raw/MMOTU/OTU_2d/images/1021.JPG,data/raw/MMOTU/OTU_2d/annotations/1021.PNG,567,580,567,580,46667,False,bb169ad3069b,ok
1022,data/raw/MMOTU/OTU_2d/images/1022.JPG,data/raw/MMOTU/OTU_2d/annotations/1022.PNG,1132,590,1132,590,87319,False,d4af034f960f,ok
1023,data/raw/MMOTU/OTU_2d/images/1023.JPG,data/raw/MMOTU/OTU_2d/annotations/1023.PNG,477,525,477,525,18428,False,b1bb6b9b4938,ok
