case_id,image_path,mask_path,split
988,data/processed/mmotu/images/988.png,data/processed/mmotu/masks/988.png,train
112,data/processed/mmotu/images/112.png,data/processed/mmotu/masks/112.png,train
414,data/processed/mmotu/images/414.png,data/processed/mmotu/masks/414.png,train
1428,data/processed/mmotu/images/1428.png,data/processed/mmotu/masks/1428.png,train
638,data/processed/mmotu/images/638.png,data/processed/mmotu/masks/638.png,train
1390,data/processed/mmotu/images/1390.png,data/processed/mmotu/masks/1390.png,train
849,data/processed/mmotu/images/849.png,data/processed/mmotu/masks/849.png,train
243,data/processed/mmotu/images/243.png,data/processed/mmotu/masks/243.png,train
214,data/processed/mmotu/images/214.png,data/processed/mmotu/masks/214.png,train
250,data/processed/mmotu/images/250.png,data/processed/mmotu/masks/250.png,train
1140,data/processed/mmotu/images/1140.png,data/processed/mmotu/masks/1140.png,train
847,data/processed/mmotu/images/847.png,data/processed/mmotu/masks/847.png,train
86,data/processed/mmotu/images/86.png,data/processed/mmotu/masks/86.png,train
473,data/processed/mmotu/images/473.png,data/processed/mmotu/masks/473.png,train
716,data/processed/mmotu/images/716.png,data/processed/mmotu/masks/716.png,train
564,data/processed/mmotu/images/564.png,data/processed/mmotu/masks/564.png,train
819,data/processed/mmotu/images/819.png,data/processed/mmotu/masks/819.png,train
50,data/processed/mmotu/images/50.png,data/processed/mmotu/masks/50.png,train
683,data/processed/mmotu/images/683.png,data/processed/mmotu/masks/683.png,train
522,data/processed/mmotu/images/522.png,data/processed/mmotu/masks/522.png,train
228,data/processed/mmotu/images/228.png,data/processed/mmotu/masks/228.png,train
899,data/processed/mmotu/images/899.png,data/processed/mmotu/masks/899.png,train
77,data/processed/mmotu/images/77.png,data/processed/mmotu/masks/77.png,train
97,data/processed/mmotu/images/97.png,data/processed/mmotu/masks/97.png,train
1393,data/processed/mmotu/images/1393.png,data/processed/mmotu/masks/1393.png,train
881,data/processed/mmotu/images/881.png,data/processed/mmotu/masks/881.png,train
1085,data/processed/mmotu/images/1085.png,data/processed/mmotu/masks/1085.png,train
306,data/processed/mmotu/images/306.png,data/processed/mmotu/masks/306.png,train
747,data/processed/mmotu/images/747.png,data/processed/mmotu/masks/747.png,train
36,data/processed/mmotu/images/36.png,data/processed/mmotu/masks/36.png,train
585,data/processed/mmotu/images/585.png,data/processed/mmotu/masks/585.png,train
1368,data/processed/mmotu/images/1368.png,data/processed/mmotu/masks/1368.png,train
229,data/processed/mmotu/images/229.png,data/processed/mmotu/masks/229.png,train
202,data/processed/mmotu/images/202.png,data/processed/mmotu/masks/202.png,train
1139,data/processed/mmotu/images/1139.png,data/processed/mmotu/masks/1139.png,train
213,data/processed/mmotu/images/213.png,data/processed/mmotu/masks/213.png,train
234,data/processed/mmotu/images/234.png,data/processed/mmotu/masks/234.png,train
1400,data/processed/mmotu/images/1400.png,data/processed/mmotu/masks/1400.png,train
1460,data/processed/mmotu/images/1460.png,data/processed/mmotu/masks/1460.png,train
455,data/processed/mmotu/images/455.png,data/processed/mmotu/masks/455.png,train
449,data/processed/mmotu/images/449.png,data/processed/mmotu/masks/449.png,train
135,data/processed/mmotu/images/135.png,data/processed/mmotu/masks/135.png,train
403,data/processed/mmotu/images/403.png,data/processed/mmotu/masks/403.png,train
612,data/processed/mmotu/images/612.png,data/processed/mmotu/masks/612.png,train
813,data/processed/mmotu/images/813.png,data/processed/mmotu/masks/813.png,train
8,data/processed/mmotu/images/8.png,data/processed/mmotu/masks/8.png,train
737,data/processed/mmotu/images/737.png,data/processed/mmotu/masks/737.png,train
179,data/processed/mmotu/images/179.png,data/processed/mmotu/masks/179.png,train
144,data/processed/mmotu/images/144.png,data/processed/mmotu/masks/144.png,train
326,data/processed/mmotu/images/326.png,data/processed/mmotu/masks/326.png,train
1276,data/processed/mmotu/images/1276.png,data/processed/mmotu/masks/1276.png,train
1413,data/processed/mmotu/images/1413.png,data/processed/mmotu/masks/1413.png,train
619,data/processed/mmotu/images/619.png,data/processed/mmotu/masks/619.png,train
173,data/processed/mmotu/images/173.png,data/processed/mmotu/masks/173.png,train
960,data/processed/mmotu/images/960.png,data/processed/mmotu/masks/960.png,train
766,data/processed/mmotu/images/766.png,data/processed/mmotu/masks/766.png,train
31,data/processed/mmotu/images/31.png,data/processed/mmotu/masks/31.png,train
698,data/processed/mmotu/images/698.png,data/processed/mmotu/masks/698.png,train
37,data/processed/mmotu/images/37.png,data/processed/mmotu/masks/37.png,train
356,data/processed/mmotu/images/356.png,data/processed/mmotu/masks/356.png,train
1315,data/processed/mmotu/images/1315.png,data/processed/mmotu/masks/1315.png,train
319,data/processed/mmotu/images/319.png,data/processed/mmotu/masks/319.png,train
111,data/processed/mmotu/images/111.png,data/processed/mmotu/masks/111.png,train
1159,data/processed/mmotu/images/1159.png,data/processed/mmotu/masks/1159.png,train
1257,data/processed/mmotu/images/1257.png,data/processed/mmotu/masks/1257.png,train
950,data/processed/mmotu/images/950.png,data/processed/mmotu/masks/950.png,train
